,vote_date,region,commission_name,voters_number,issued_ballots_number,turned_ballots_number,bad_ballots_number,for_votes_number,for_votes_percent,against_votes_number,against_votes_percent,link
2217,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Актанышская,22230,21465,21465,5,20459,"95,31%",1001,"4,66%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2218,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Алексеевская,19304,18447,18447,3,16683,"90,44%",1761,"9,55%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2219,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Алькеевская,14615,13754,13754,7,12320,"89,57%",1427,"10,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2220,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Альметьевская,37207,33109,33099,282,27755,"83,85%",5062,"15,29%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2221,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Альметьевская городская,111552,90732,90729,334,72005,"79,36%",18390,"20,27%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2222,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Апастовская,15430,14996,14996,15,14471,"96,5%",510,"3,4%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2223,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Арская,39515,37912,37912,20,35592,"93,88%",2300,"6,07%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2224,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Атнинская,10015,9689,9689,21,9194,"94,89%",474,"4,89%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2225,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Бавлинская,9772,9189,9189,68,7726,"84,08%",1395,"15,18%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2226,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Бавлинская городская,16925,13843,13843,179,10739,"77,58%",2925,"21,13%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2227,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Балтасинская,25581,24410,24410,51,22206,"90,97%",2153,"8,82%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2228,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Бугульминская,16221,15141,15141,17,12581,"83,09%",2543,"16,8%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2229,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Бугульминская городская,64865,55450,55253,242,43901,"79,45%",11110,"20,11%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2230,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Буинская,17690,16811,16810,3,16136,"95,99%",671,"3,99%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2231,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Буинская городская,16316,14038,14038,9,11857,"84,46%",2172,"15,47%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2232,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Верхнеуслонская,14960,13181,13180,83,11479,"87,09%",1618,"12,28%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2233,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Высокогорская,40355,36333,36333,524,30818,"84,82%",4991,"13,74%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2234,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Дрожжановская,17599,16996,16996,21,16052,"94,45%",923,"5,43%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2235,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Елабужская,8770,8074,8074,12,6904,"85,51%",1158,"14,34%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2236,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Елабужская городская,52377,44397,44396,540,36174,"81,48%",7682,"17,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2237,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Заинская,10394,9697,9697,14,8089,"83,42%",1594,"16,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2238,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Заинская городская,30082,26191,26190,110,21489,"82,05%",4591,"17,53%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2239,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Зеленодольская,50514,44157,44157,292,36447,"82,54%",7418,"16,8%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2240,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Зеленодольская городская,76469,60768,60765,467,47189,"77,66%",13109,"21,57%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2241,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Авиастроительная",89872,57755,57649,492,45336,"78,64%",11821,"20,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2242,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Вахитовская",60352,38581,38564,352,29874,"77,47%",8338,"21,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2243,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Кировская",91259,57822,57797,380,45596,"78,89%",11821,"20,45%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2244,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Московская",92426,58579,58513,530,46204,"78,96%",11779,"20,13%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2245,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Ново-Савиновская",165187,105469,105190,993,81851,"77,81%",22346,"21,24%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2246,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Приволжская",194508,123453,123397,1036,95390,"77,3%",26971,"21,86%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2247,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Казань, Советская",240702,156000,155900,1378,121324,"77,82%",33198,"21,29%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2248,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Кайбицкая,10359,9863,9863,21,9428,"95,59%",414,"4,2%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2249,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Камско-Устьинская,12793,12167,12167,46,11135,"91,52%",986,"8,1%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2250,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Кукморская,39764,36261,36261,130,32337,"89,18%",3794,"10,46%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2251,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Лаишевская,36663,32615,32614,227,28350,"86,93%",4037,"12,38%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2252,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Лениногорская,15937,14784,14784,50,12895,"87,22%",1839,"12,44%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2253,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Лениногорская городская,46835,39981,39981,80,33076,"82,73%",6825,"17,07%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2254,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Мамадышская,32869,30742,30741,98,27184,"88,43%",3459,"11,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2255,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Менделеевская,21585,19533,19533,360,16796,"85,99%",2377,"12,17%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2256,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Мензелинская,21610,19705,19705,9,17041,"86,48%",2655,"13,47%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2257,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Муслюмовская,15868,14960,14960,15,12788,"85,48%",2157,"14,42%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2258,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Набережные Челны, Автозаводская",132982,107172,107118,356,84635,"79,01%",22127,"20,66%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2259,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Набережные Челны, Комсомольская",111309,90208,90193,677,73313,"81,28%",16203,"17,96%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2260,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),"Набережные Челны, Центральная",154338,125022,124995,990,98138,"78,51%",25867,"20,69%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2261,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Нижнекамская,28507,26414,26414,46,23210,"87,87%",3158,"11,96%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2262,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Нижнекамская городская,171956,138906,138894,970,111852,"80,53%",26072,"18,77%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2263,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Новошешминская,10990,10445,10445,1,9209,"88,17%",1235,"11,82%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2264,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Нурлатская,16430,15279,15279,0,14071,"92,09%",1208,"7,91%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2265,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Нурлатская городская,26750,22987,22987,19,19162,"83,36%",3806,"16,56%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2266,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Пестречинская,33168,29861,29861,71,25707,"86,09%",4083,"13,67%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2267,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Рыбно-Слободская,20559,19642,19586,59,18048,"92,15%",1479,"7,55%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2268,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Сабинская,24308,23105,23105,2,20592,"89,12%",2511,"10,87%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2269,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Сармановская,26756,25434,25434,29,22937,"90,18%",2468,"9,7%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2270,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Спасская,14726,13584,13584,9,12030,"88,56%",1545,"11,37%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2271,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Тетюшская,17363,16455,16455,151,14657,"89,07%",1647,"10,01%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2272,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Тукаевская,33034,31035,31028,83,26997,"87,01%",3948,"12,72%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2273,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Тюлячинская,10779,10289,10289,6,9334,"90,72%",949,"9,22%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2274,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Черемшанская,14468,13951,13951,27,13132,"94,13%",792,"5,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2275,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Чистопольская,12952,12183,12183,21,11050,"90,7%",1112,"9,13%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2276,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Чистопольская городская,46857,39226,39226,173,33099,"84,38%",5954,"15,18%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2277,"
						Дата голосования:  01.07.2020",Республика Татарстан (Татарстан),Ютазинская,16555,15730,15730,127,14679,"93,32%",924,"5,87%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598025&vrn=100100163596966&prver=0&pronetvd=null&region=16&sub_region=16&type=0&report_mode=null
2278,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8140,2045,1051,1051,2,682,"64,89%",367,"34,92%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2279,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8141,2099,1032,1032,9,614,"59,5%",409,"39,63%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2280,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8142,2209,1078,1078,6,700,"64,94%",372,"34,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2281,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8143,1584,785,785,4,520,"66,24%",261,"33,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2282,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8144,1808,854,854,3,531,"62,18%",320,"37,47%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2283,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8145,1939,911,911,14,579,"63,56%",318,"34,91%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2284,"
						Дата голосования:  01.07.2020",Город Байконур (Республика Казахстан),УИК №8146,2058,1175,1175,12,662,"56,34%",501,"42,64%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100164050019&vrn=100100163596966&prver=0&pronetvd=null&region=99&sub_region=99&type=0&report_mode=null
2285,"
						Дата голосования:  01.07.2020",Ставропольский край,Александровская,32179,27708,27608,107,23464,"84,99%",4037,"14,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2286,"
						Дата голосования:  01.07.2020",Ставропольский край,Андроповская,21021,17597,17597,60,14959,"85,01%",2578,"14,65%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2287,"
						Дата голосования:  01.07.2020",Ставропольский край,Апанасенковская,22826,18238,18237,111,15808,"86,68%",2318,"12,71%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2288,"
						Дата голосования:  01.07.2020",Ставропольский край,Арзгирская,17725,13737,13736,125,12694,"92,41%",917,"6,68%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2289,"
						Дата голосования:  01.07.2020",Ставропольский край,Благодарненская,41375,35448,35447,521,31292,"88,28%",3634,"10,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2290,"
						Дата голосования:  01.07.2020",Ставропольский край,Буденновская,77182,59488,59460,1260,49738,"83,65%",8462,"14,23%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2291,"
						Дата голосования:  01.07.2020",Ставропольский край,Георгиевская,63151,51614,51613,1030,44100,"85,44%",6483,"12,56%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2292,"
						Дата голосования:  01.07.2020",Ставропольский край,Грачевская,25208,21040,21038,361,19684,"93,56%",993,"4,72%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2293,"
						Дата голосования:  01.07.2020",Ставропольский край,Ессентукская городская,67366,56823,56821,5291,48457,"85,28%",3073,"5,41%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2294,"
						Дата голосования:  01.07.2020",Ставропольский край,Железноводская городская,36977,31294,31294,175,25721,"82,19%",5398,"17,25%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2295,"
						Дата голосования:  01.07.2020",Ставропольский край,Изобильненская,70312,58651,58395,601,51659,"88,46%",6135,"10,51%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2296,"
						Дата голосования:  01.07.2020",Ставропольский край,Ипатовская,43864,36802,36802,170,31094,"84,49%",5538,"15,05%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2297,"
						Дата голосования:  01.07.2020",Ставропольский край,Кировская,45920,36837,36818,380,31425,"85,35%",5013,"13,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2298,"
						Дата голосования:  01.07.2020",Ставропольский край,Кисловодская городская,68980,53812,53812,1441,47193,"87,7%",5178,"9,62%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2299,"
						Дата голосования:  01.07.2020",Ставропольский край,Кочубеевская,52876,41544,41544,181,35286,"84,94%",6077,"14,63%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2300,"
						Дата голосования:  01.07.2020",Ставропольский край,Красногвардейская,27609,22631,22631,167,20359,"89,96%",2105,"9,3%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2301,"
						Дата голосования:  01.07.2020",Ставропольский край,Курская,34626,27954,27954,157,25679,"91,86%",2118,"7,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2302,"
						Дата голосования:  01.07.2020",Ставропольский край,Левокумская,26529,22343,22338,1083,19195,"85,93%",2060,"9,22%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
2303,"
						Дата голосования:  01.07.2020",Ставропольский край,Лермонтовская городская,17650,13306,13306,111,11787,"88,58%",1408,"10,58%",http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=1&tvd=100100163598035&vrn=100100163596966&prver=0&pronetvd=null&region=26&sub_region=26&type=0&report_mode=null
